region,province,city,barangay,precinct,position,candidate,votes,percentage
region,province,city,barangay,precinct,position,candidate,votes,percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"ABELLA, ERNIE (IND)",2,0.31 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"DE GUZMAN, LEODY (PLM)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"DOMAGOSO, ISKO MORENO (AKSYON)",35,5.56 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"GONZALES, NORBERTO (PDSP)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"LACSON, PING (PDR)",19,3.02 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"MANGONDATO, FAISAL (KTPNAN)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"MARCOS, BONGBONG (PFP)",328,52.14 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"MONTEMAYOR, JOSE JR. (DPP)",2,0.31 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"PACQUIAO, MANNY PACMAN(PROMDI)",50,7.94 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PRESIDENT,"ROBREDO, LENI (IND)",193,30.68 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"ATIENZA, LITO (PROMDI)",1,0.16 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"BELLO, WALDEN (PLM)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"DAVID, RIZALITO (DPP)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"DUTERTE, SARA (LAKAS)",320,51.94 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"LOPEZ, MANNY SD (WPP)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"ONG, DOC WILLIE (AKSYON)",23,3.73 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"PANGILINAN, KIKO (LP)",122,19.80 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"SERAPIO, CARLOS (KTPNAN)",0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,VICE_PRESIDENT,"SOTTO, VICENTE TITO (NPC)",150,24.35 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"AFUANG, ABNER (IND)",14,0.24 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ALBANI, IBRAHIM (WPP)",9,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ARRANZA, MANG JESS (IND)",11,0.19 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BAGUILAT, TEDDY (LP)",48,0.84 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BAILEN, AGNES (IND)",11,0.19 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BALITA, CARL (AKSYON)",48,0.84 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BARBO, LUTZ (PDPLBN)",11,0.19 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BAUTISTA, HERBERT BISTEK (NPC)",172,3.01 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BELGICA, GRECO (PDDS)",30,0.52 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BELLO, SILVESTRE JR. (PDPLBN)",31,0.54 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"BINAY, JOJO (UNA)",159,2.78 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"CABONEGRO, ROY (PLM)",5,0.08 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"CASTRICIONES, BRO JOHN(PDPLBN)",8,0.14 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"CAYETANO, ALAN PETER (IND)",271,4.74 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"CHAVEZ, MELCHOR (WPP)",26,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"COLMENARES, NERI (MKBYN)",154,2.69 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"D'ANGELO, DAVID (PLM)",3,0.05 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"DE LIMA, LEILA (LP)",101,1.76 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"DEL ROSARIO, MONSOUR (PDR)",66,1.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"DIAZ, DING (PPP)",9,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"DIOKNO, CHEL (KANP)",164,2.87 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"EJERCITO, JV ESTRADA (NPC)",183,3.20 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ELEAZAR, GEN. GUILLERMO (PDR)",145,2.54 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"EREÑO, BRO. ERNIE (PM)",5,0.08 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ESCUDERO, CHIZ (NPC)",256,4.48 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ESPIRITU, LUKE (PLM)",68,1.19 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ESTRADA, JINGGOY (PMP)",157,2.75 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"FALCONE, BAL FALCON (DPP)",10,0.17 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"GADON, LARRY (KBL)",116,2.03 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"GATCHALIAN, WIN (NPC)",234,4.09 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"GORDON, WOW DICK (BVNP)",155,2.71 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"GUTOC, SAMIRA (AKSYON)",20,0.35 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"HONASAN, GRINGO (IND)",146,2.55 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"HONTIVEROS, RISA (AKBAYAN)",241,4.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"JAVELLANA, RJ (IND)",10,0.17 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"KIRAM, NUR-MAHAL (IND)",7,0.12 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"LABOG, ELMER (MKBYN)",14,0.24 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"LACSON, KUYA ALEX (KP)",89,1.55 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"LANGIT, REY (PDPLBN)",7,0.12 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"LEGARDA, LOREN (NPC)",309,5.41 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"LIM, ARIEL (IND)",7,0.12 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"MALLILLIN, EMILY (PPM)",5,0.08 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"MARCOLETA, RODANTE (PDPLBN)",31,0.54 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"MARCOS, FRANCIS LEO (IND)",67,1.17 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"MATULA, SONNY (IND)",35,0.61 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"MINDALANO-ADAM,MARIETA(KTPNAN)",6,0.10 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"OLARTE, ATTY/DR. LEO (BIGKIS)",38,0.66 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"PADILLA, DRA. MINGUITA (PDR)",29,0.50 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"PADILLA, ROBIN (PDPLBN)",259,4.53 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"PANELO, SAL PANALO (PDPLBN)",87,1.52 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"PIMENTEL, ASTRA (PDPLBN)",55,0.96 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"PIÑOL, MANNY (NPC)",33,0.57 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"RICABLANCA, WILLIE JR. (PM)",14,0.24 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ROQUE, HARRY SPOX (PRP)",101,1.76 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"SAHIDULLA, LADY ANNE (PDDS)",3,0.05 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"SISON, JOPET (AKSYON)",27,0.47 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"TEODORO, GIBO (PRP)",203,3.55 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"TRILLANES, ANTONIO IV (LP)",126,2.20 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"TULFO, IDOL RAFFY (IND)",308,5.39 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"VALEROS, REY (IND)",9,0.15 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"VILLANUEVA,JOEL TESDAMAN (IND)",190,3.32 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"VILLAR, MARK (NP)",221,3.87 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ZUBIAGA, CARMEN (IND)",12,0.21 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,SENATOR,"ZUBIRI, MIGZ (IND)",319,5.58 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,Candidate,Votes,Percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,01 KAMALAYAN,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,02 KM NGAYON NA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,03 PSIS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,04 AGAP,5,1.13 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,05 KABAYAN,5,1.13 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,06 HOME OWNER,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,07 KAPUSO-PM,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,08 PDP CARES,3,0.68 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,09 MARVELOUS TAYO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,10 AKO OFW,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,11 UNITED SENIOR CITIZEN,4,0.91 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,12 WOW PILIPINAS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,13 ALTERNATIBA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,14 1-RIDER PARTYLIST,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,15 1-CARE,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,16 ABP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,17 AKO MUSIKERO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,18 AKO BICOL,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,19 PRAI,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,20 4PS,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,21 MAAGAP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,22 ABANTE PILIPINAS,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,23 AKTIBONG KAAGAPAY,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,24 ALSA BISAYA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,25 PROBINSYANO AKO,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,26 YACAP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,27 MAGDALO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,28 ACT-CIS,19,4.32 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,29 HUGPONG FEDERAL,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,30 TGP,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,31 ONE COOP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,32 BARKADAHAN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,33 DUMPER PTDA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,34 MALABUNG,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,35 BH (BAGONG HENERASYON),0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,36 AKMA-PTM,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,37 IPATUPAD,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,38 PINUNO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,39 LPGMA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,40 CLICK PARTY,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,41 TODA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,42 BHW,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,43 MALASAKIT@BAYANIHAN,88,20.04 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,44 ABS,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,45 PASAHERO PARTYLIST,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,46 ANGAT,16,3.64 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,47 SOLID-CHANGE,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,48 BICOL SARO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,49 OFW,3,0.68 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,50 ANG PROBINSIYANO,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,51 ANAKALUSUGAN,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,52 PBA,3,0.68 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,53 PEACE,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,54 P3PWD,19,4.32 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,55 S.M.I.L.E,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,56 AAMBIS-OWA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,57 BUTIL,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,58 LUNAS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,59 ANG KOMADRONA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,60 KABAKA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,61 SAGIP,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,62 ANG KABUHAYAN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,63 AKO I.P.,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,64 PHILRECA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,65 BABAE AKO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,66 KB,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,67 GABRIELA,7,1.59 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,68 KALINGA,5,1.13 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,69 STL,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,70 RECOBODA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,71 ANGAT PINOY,4,0.91 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,72 ANAC-IP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,73 DIWA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,74 ASENSO PINOY,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,75 PPP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,76 PAMILYA MUNA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,77 AYUDA SANDUGO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,78 BUKLOD FILIPINO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,79 BTS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,80 MOCHA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,81 ACT TEACHERS,4,0.91 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,82 ALONA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,83 KABALIKAT,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,84 ALIF,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,85 1-UTAP BICOL,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,86 TINGOG,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,87 H.E.L.P. PILIPINAS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,88 TUCP,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,89 PTA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,90 AGIMAT,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,91 KONTRA BROWNOUT,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,92 TULUNGAN TAYO,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,93 DUTERTE YOUTH,9,2.05 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,94 ABEKA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,95 KABATAAN,3,0.68 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,97 ACTS-OFW,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,98 RAM,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,99 USWAG ILONGGO,12,2.73 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,100 AKO BISAYA,1,0.22 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,101 KAPAMILYA,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,102 PUSONG PINOY,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,103 CWS,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,104 SILBI,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,105 CIBAC,2,0.45 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,106 SUBANEN,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,107 AKKK,0,0.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010369,PARTYLIST,108 BG PARTY-LIST,1,0.22 %
