region,province,city,barangay,precinct,position,candidate,votes,percentage
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"DIAZ, DING (PPP)",11,0.17 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"DIOKNO, CHEL (KANP)",231,3.70 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"EJERCITO, JV ESTRADA (NPC)",171,2.74 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ELEAZAR, GEN. GUILLERMO (PDR)",150,2.40 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"EREÑO, BRO. ERNIE (PM)",12,0.19 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ESCUDERO, CHIZ (NPC)",297,4.76 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ESPIRITU, LUKE (PLM)",106,1.69 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"ESTRADA, JINGGOY (PMP)",134,2.14 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"FALCONE, BAL FALCON (DPP)",7,0.11 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"GADON, LARRY (KBL)",108,1.73 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"GATCHALIAN, WIN (NPC)",270,4.32 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"GORDON, WOW DICK (BVNP)",168,2.69 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"GUTOC, SAMIRA (AKSYON)",25,0.40 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"HONASAN, GRINGO (IND)",135,2.16 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"HONTIVEROS, RISA (AKBAYAN)",312,5.00 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"JAVELLANA, RJ (IND)",12,0.19 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"KIRAM, NUR-MAHAL (IND)",11,0.17 %
REGION VI,NEGROS OCCIDENTAL,CITY OF BACOLOD,TACULING,45010362,SENATOR,"LABOG, ELMER (MKBYN)",30,0.48 %
